#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
brythonic;Brythonic;;;;;;;;;;;;;x
welsh;Welsh;;;;;;;;;;;;;x
cornish;Cornish;;;;;;;;;;;;;x
manx;Manx;;;;;;;;;;;;;x
english;English;;;;;;;;;;;;;x
northumbrian;Northumbrian;;;;;;;;;;;;;x
mercian;Mercian;;;;;;;;;;;;;x
south_english;South English;;;;;;;;;;;;;x
north_english;North English;;;;;;;;;;;;;x
scottish;Scottish;;;;;;;;;;;;;x
scots;Scots;;;;;;;;;;;;;x
clydesman;Clydesman;;;;;;;;;;;;;x
islander;Islander;;;;;;;;;;;;;x
orkade;Orkade;;;;;;;;;;;;;x
wizarding;Wizarding;;;;;;;;;;;;;x
irish;Irish;;;;;;;;;;;;;x
mistfolk;Mistfolk;;;;;;;;;;;;;x
brownmen;Brownmen;;;;;;;;;;;;;x
pakistani;Pakistani;;;;;;;;;;;;;x
hindustani;Hindustani;;;;;;;;;;;;;x
sylheti;Sylheti;;;;;;;;;;;;;x
blackmen;Blackmen;;;;;;;;;;;;;x
windrushite;Windrushite;;;;;;;;;;;;;x
chinairen_group;Chinairen;;;;;;;;;;;;;x
chinairen;Chinairen;;;;;;;;;;;;;x
slavic_group;Slavic;;;;;;;;;;;;;x
slav;Slav;;;;;;;;;;;;;x
ianki_group;Ianki;;;;;;;;;;;;;x
ianki;Ianki;;;;;;;;;;;;;x
spireling;Spireling;;;;;;;;;;;;;x
londoner;Londoner;;;;;;;;;;;;;x
mancunian;Mancunian;;;;;;;;;;;;;x
sea_group;Sea People;;;;;;;;;;;;;x
anglican;Anglican;;;;;;;;;;;;;x
scillonian;Scillonian;;;;;;;;;;;;;x
presbyterian;Presbyterian;;;;;;;;;;;;;x
kanthapuri;Kanthapuri;;;;;;;;;;;;;x
salafi;Salafi;;;;;;;;;;;;;x
sufi;Sufi;;;;;;;;;;;;;x
baraminghi;Baraminghi;;;;;;;;;;;;;x
ahmadi;Ahmadi;;;;;;;;;;;;;x
twelver;Twelver;;;;;;;;;;;;;x
ismaili;Ismaili;;;;;;;;;;;;;x
reform_jewish;Reform Jewish;;;;;;;;;;;;;x
orthodox_jewish;Orthodox Jewish;;;;;;;;;;;;;x
parsi;Parsi;;;;;;;;;;;;;x
old_gods;Old Gods;;;;;;;;;;;;;x
earthmother;Earthmother;;;;;;;;;;;;;x
skyfather;Sky Father;;;;;;;;;;;;;x
flaydh_cymhru;Flaydh Cymhru;;;;;;;;;;;;;x
raad;Raad;;;;;;;;;;;;;x
four_festivals;Four Festivals;;;;;;;;;;;;;x
wicca;Wicca;;;;;;;;;;;;;x
BM_FALL_OF_MAN;The Fall of Man;;;;;;;;;;;;;x
BM_FALL_OF_MAN_DESC;Following a hard fought victory by the Imperium to repel the voracious hordes of man-eating giantesses led by the notoriously evil and cheeky Darth Reus in the destructive Vore Wars that engulfed the entire British Isles, the Imperium is once again faced with a looming threat from its enemies. While the entirety of the isles exhausted its resources and strength to defeat Darth Reus and his armies, the cunning master ruseman droid NC-64 gears up his numberless droid armies for a crusade to conquer the entire British Isles. Already, numerous states have fallen under the seemingly limitless goons of NC-64 and his newly declared Spam Empire and once again, the Imperium is on the verge of crushing defeat, desperate for any kind of help...;;;;;;;;;;;;;x
