#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Isle of Wight;;;;;;;;;;;;;x
PROV2;Coast of Wight;;;;;;;;;;;;;x
PROV3;Coast of Brighton;;;;;;;;;;;;;x
PROV4;Strait of Dover;;;;;;;;;;;;;x
PROV5;Thames Estuary;;;;;;;;;;;;;x
PROV6;Coast of Harwich;;;;;;;;;;;;;x
PROV7;Coast of Yarmouth;;;;;;;;;;;;;x
PROV8;The Wash;;;;;;;;;;;;;x
PROV9;The Humber;;;;;;;;;;;;;x
PROV10;Coast of Skegness;;;;;;;;;;;;;x
PROV11;Coast of Scarborough;;;;;;;;;;;;;x
PROV12;Coast of Sunderland;;;;;;;;;;;;;x
PROV13;Coast of Berwick;;;;;;;;;;;;;x
PROV14;Firth of Forth;;;;;;;;;;;;;x
PROV15;Coast of Aberdeen;;;;;;;;;;;;;x
PROV16;Coast of Moray;;;;;;;;;;;;;x
PROV17;Pentland Firth;;;;;;;;;;;;;x
PROV18;Sea of the Hebrides;;;;;;;;;;;;;x
PROV19;Coast of Derry;;;;;;;;;;;;;x
PROV20;Firth of Clyde;;;;;;;;;;;;;x
PROV21;North Channel;;;;;;;;;;;;;x
PROV22;Manx Sea;;;;;;;;;;;;;x
PROV23;West Irish Sea;;;;;;;;;;;;;x
PROV24;Solway Firth;;;;;;;;;;;;;x
PROV25;Morecambe Bay;;;;;;;;;;;;;x
PROV26;East Irish Sea;;;;;;;;;;;;;x
PROV27;South Irish Sea;;;;;;;;;;;;;x
PROV28;Cardigan Bay;;;;;;;;;;;;;x
PROV29;St George's Channel;;;;;;;;;;;;;x
PROV30;Bristol Channel;;;;;;;;;;;;;x
PROV31;Coast of Cornwall;;;;;;;;;;;;;x
PROV32;Land's End;;;;;;;;;;;;;x
PROV33;Coast of Plymouth;;;;;;;;;;;;;x
PROV34;Coast of Portland;;;;;;;;;;;;;x
PROV35;Donegal Bay;;;;;;;;;;;;;x
PROV36;Coast of Cork;;;;;;;;;;;;;x
PROV37;Coast of Waterford;;;;;;;;;;;;;x
PROV38;St Bride's Bay;;;;;;;;;;;;;x
PROV39;East Celtic Sea;;;;;;;;;;;;;x
PROV40;South Celtic Sea;;;;;;;;;;;;;x
PROV41;North Celtic Sea;;;;;;;;;;;;;x
PROV42;Scilly;;;;;;;;;;;;;x
PROV43;Penwith;;;;;;;;;;;;;x
PROV44;Carrick;;;;;;;;;;;;;x
PROV45;Caradon;;;;;;;;;;;;;x
PROV46;Plymouth;;;;;;;;;;;;;x
PROV47;Torbay;;;;;;;;;;;;;x
PROV48;Torridge;;;;;;;;;;;;;x
PROV49;Exeter;;;;;;;;;;;;;x
PROV50;Tiverton;;;;;;;;;;;;;x
PROV51;Barnstaple;;;;;;;;;;;;;x
PROV52;Taunton;;;;;;;;;;;;;x
PROV53;Yeovil;;;;;;;;;;;;;x
PROV54;Sedgemoor;;;;;;;;;;;;;x
PROV55;Mendip;;;;;;;;;;;;;x
PROV56;Woodspring;;;;;;;;;;;;;x
PROV57;Bath;;;;;;;;;;;;;x
PROV58;Dorchester;;;;;;;;;;;;;x
PROV59;Portland;;;;;;;;;;;;;x
PROV60;Bournemouth;;;;;;;;;;;;;x
PROV61;Winbourne;;;;;;;;;;;;;x
PROV62;Blandford;;;;;;;;;;;;;x
PROV63;Bristol;;;;;;;;;;;;;x
PROV64;Northavon;;;;;;;;;;;;;x
PROV65;Salisbury;;;;;;;;;;;;;x
PROV66;Kennet;;;;;;;;;;;;;x
PROV67;Chippenham;;;;;;;;;;;;;x
PROV68;Swindon;;;;;;;;;;;;;x
PROV69;New Forest;;;;;;;;;;;;;x
PROV70;Andover;;;;;;;;;;;;;x
PROV71;Southampton;;;;;;;;;;;;;x
PROV72;Portsmouth;;;;;;;;;;;;;x
PROV73;Winchester;;;;;;;;;;;;;x
PROV74;Petersfield;;;;;;;;;;;;;x
PROV75;Basingstoke;;;;;;;;;;;;;x
PROV76;Hart;;;;;;;;;;;;x
PROV77;Newbury;;;;;;;;;;;;;x
PROV78;Reading;;;;;;;;;;;;;x
PROV79;Windsor;;;;;;;;;;;;;x
PROV80;Slough;;;;;;;;;;;;x
